app i itr dvfs rapl latency joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
flink 0 50 0x0c00 135 12.96 4541.25 63049 92177846 9543 5238238 30817546571.0 74485830303.0 3482
flink 1 50 0x0c00 135 9.08 4483.12 63158 92194378 9802 5235477 35857172106.0 87896769639.0 3389
flink 2 50 0x0c00 135 35.42 4467.43 63284 92180782 9526 5223392 34694641499.0 86922272634.0 3434
flink 0 100 0x0c00 135 54.92 4472.45 63446 92212896 9934 5251381 32796939457.0 82683421108.0 3417
flink 1 100 0x0c00 135 41.75 4500.02 63384 92201772 9875 5245557 37915596664.0 94656963003.0 3553
flink 2 100 0x0c00 135 46.33 4480.78 63086 92191790 9411 5243270 36078985706.0 89892708704.0 3283
flink 0 50 0x1d00 135 60.12 4763.52 63153 92192962 9311 5211821 28927922247.0 34300017554.0 2677
flink 1 50 0x1d00 135 27.46 4773.53 63308 92206620 9732 5223692 24673717640.0 29692097267.0 2673
flink 2 50 0x1d00 135 11.62 4751.02 63109 92187376 9494 5206169 25554292020.0 31099498239.0 2643
flink 0 100 0x1d00 135 8.88 4737.94 63453 92205331 10014 5229155 24438496558.0 30254817124.0 2884
flink 1 100 0x1d00 135 7.42 4754.28 63413 92209961 9815 5220495 23449870254.0 30609404039.0 2755
flink 2 100 0x1d00 135 57.92 4729.77 63339 92189844 9479 5209891 27873948342.0 32556402066.0 2673
flink 0 50 0x0c00 135 61.62 4496.63 63201 92195077 9554 5238135 31063999828.0 78936709239.0 3421
flink 1 50 0x0c00 135 60.54 4488.88 63135 92186689 9595 5249214 36168223274.0 92172745776.0 3449
flink 2 50 0x0c00 135 53.46 4491.78 63267 92203669 10015 5255517 38221349727.0 95134099800.0 3511
flink 0 100 0x0c00 135 29.62 4436.55 63311 92202858 9829 5260545 34253574516.0 84719033710.0 3454
flink 1 100 0x0c00 135 60.08 4511.04 62986 92187111 9245 5228208 39477979037.0 94891703445.0 3425
flink 2 100 0x0c00 135 37.54 4511.09 63201 92204710 9704 5261395 38134034518.0 94001818551.0 3338
flink 0 50 0x1d00 135 55.72 4737.17 63456 92208932 9568 5208851 28887572780.0 33475393883.0 2710
flink 1 50 0x1d00 135 48.75 4780.79 63202 92194235 9130 5196099 27292123683.0 32693842810.0 2664
flink 2 50 0x1d00 135 10.83 4709.57 63232 92197034 9620 5209142 24613148807.0 29974217184.0 2663
flink 0 100 0x1d00 135 30.17 4794.33 63500 92215684 9770 5216258 26560689014.0 33222783554.0 2863
flink 1 100 0x1d00 135 60.52 4689.22 63339 92197904 9645 5225580 25866446319.0 31520011231.0 2828
flink 2 100 0x1d00 135 44.79 4708.7 63289 92191446 9237 5212489 24712662297.0 31300020682.0 2676
flink 0 50 0x0c00 135 56.96 4495.32 63152 92189743 9905 5238480 32608109483.0 79415970576.0 3358
flink 1 50 0x0c00 135 49.33 4438.0 63546 92221909 10010 5256092 39928358696.0 97580207170.0 3488
flink 2 50 0x0c00 135 63.08 4442.56 63099 92181038 9569 5221553 39529858614.0 96109340945.0 3288
flink 0 100 0x0c00 135 15.62 4482.59 63121 92189507 9774 5237342 35477431961.0 86445689737.0 3385
flink 1 100 0x0c00 135 49.08 4488.97 62938 92163476 9182 5208989 37427936829.0 91909455501.0 3295
flink 2 100 0x0c00 135 8.0 4506.79 63303 92204229 10092 5244662 39090449618.0 95989265836.0 3526
flink 0 50 0x1d00 135 53.5 4773.09 63551 92213199 9800 5226566 29038114390.0 33195972445.0 2824
flink 1 50 0x1d00 135 53.67 4782.34 63555 92215128 9816 5242243 28190060889.0 34073742995.0 2844
flink 2 50 0x1d00 135 64.12 4758.5 63358 92199034 9374 5199945 27411063134.0 32412219431.0 2676
flink 0 100 0x1d00 135 11.46 4839.01 63312 92198267 9387 5201500 27515460269.0 32735193533.0 2687
flink 1 100 0x1d00 135 11.33 4761.67 63054 92179200 9452 5208076 26837598113.0 31225328398.0 2688
flink 2 100 0x1d00 135 50.92 4773.66 63381 92202720 9796 5221680 28834089070.0 34275987487.0 2695
flink 0 50 0x0c00 135 12.92 4489.93 63109 92176313 9230 5216114 31140302914.0 76288729012.0 3337
flink 1 50 0x0c00 135 55.83 4493.08 63284 92195062 9481 5230475 38067623851.0 93445771971.0 3439
flink 2 50 0x0c00 135 58.29 4494.09 63436 92212817 9836 5249912 41059308804.0 99578064556.0 3492
flink 0 100 0x0c00 135 14.58 4471.12 63150 92185987 9253 5217469 35468615864.0 85941326290.0 3410
flink 1 100 0x0c00 135 59.92 4459.2 63136 92190677 9640 5234746 35236915780.0 87660746643.0 3427
flink 2 100 0x0c00 135 10.79 4474.18 63201 92194436 10286 5284936 40689160723.0 98798088386.0 3451
flink 0 50 0x1d00 135 56.25 4782.58 63593 92216586 9988 5226781 29156057285.0 35215853910.0 2704
flink 1 50 0x1d00 135 10.42 4779.09 63525 92209747 9793 5225142 28725297570.0 33480203127.0 2779
flink 2 50 0x1d00 135 37.08 4752.91 63410 92196737 9527 5201171 25146485686.0 30145298450.0 2631
flink 0 100 0x1d00 135 11.54 4775.0 63469 92212258 9486 5224858 28736335056.0 33925516600.0 2756
flink 1 100 0x1d00 135 61.04 4794.18 63191 92194785 9849 5233288 25264183936.0 31849452942.0 2851
flink 2 100 0x1d00 135 50.67 4786.9 63238 92188596 9219 5196851 27920155413.0 32758525367.0 2674
